id,name,user_id
39,Divers,1
47,Facture : EDF/GDF,1
50,Facture : appartement,1
51,Facture : dédibox,1
54,Facture : eau,1
55,Facture : freebox,1
56,Facture : téléphone,1
57,Nourriture,1
58,Loisir : sortie,1
61,Loisir : vacances,1
62,Espèce,1
63,Voiture : essence,1
64,Voiture : entretien,1
65,Voiture : pv,1
66,Octavo,1
67,Voiture : péage,1
68,Soins perso,1
71,Impots,1
72,Santé : mutuelle,1
73,Voiture : assurance,1
75,Facture : portable,1
77,Commun,1
78,Santé : pharmacie,1
79,Santé : consultation,1
83,Facture : mutuelle,1
84,Loisir : muscu,1
85,Loisir : musique,1
87,Loisir : surf,1
88,Divers,2
89,Facture : EDF/GDF,2
90,Facture : appartement,2
91,Facture : dédibox,2
95,Nourriture,2
96,Sortie,2
97,Vacances,2
98,Espèce,2
99,Voiture : essence,2
100,Voiture : entretien,2
101,Voiture : pv,2
103,Voiture : péage,2
104,Soins perso,2
105,Salaire,2
106,Frais bancaire,2
107,Impots,2
108,Santé : mutuelle,2
109,Voiture : assurance,2
110,Frais de travail,2
111,Facture : portable,2
112,Loisir : karaté,2
114,Santé : pharmacie,2
115,Santé : consultation,2
116,Luna,2
117,Maison,2
118,Facture : mutuelle,2
122,solde,3
123,prêt,3
124,depot,3
125,Moto : assurance,1
126,Moto : entretien,1
127,Moto : essence,1
128,Moto : péage,1
129,Moto : pv,1
130,Loisir : lecture,1
131,Locapass,2
133,Linéasoft : frais,1
134,Loisir : plongée,1
137,loyer,3
138,Xavier,3
139,Loisir : danse,1
140,Virement,2
141,Tisséo,1
142,Linéasoft : salaire,1
143,Crédit,2
144,Facture : MAIF,1
145,Facture : moto,1
184,Usabilis : salaire,1
190,WeLoveUsers : comptable,1
186,WeLoveUsers : salaire,1
187,WeLoveUsers : taxes,1
188,Usabilis : frais,1
189,WeLoveUsers : frais,1
191,WeLoveUsers : banque,1
192,WeLoveUsers : client,1
193,WeLoveUsers : fournisseur,1
194,Alma,2
175,Jooix : salaire,1
176,Facture : StarHub,1
177,Facture : SingTel,1
178,Facture : Beacon Heights,1
180,Facture : Sp Services,1
181,caf,2
182,X-Prime : salaire,1
183,Crèche,2
