id,account_id,category_id,effective_date,checked,check_number,comment,value,created_at,recurrent_entry_id
12426,20,39,2016-07-11,t,"","",23222.37,2016-07-11 09:44:06.522547,
14590,20,39,2019-02-26,t,"",CMUT,-68.85,2019-02-26 09:46:53.845492,
14591,20,39,2019-02-26,t,"","",20,2019-02-26 09:47:00.83768,
12549,17,99,2016-07-19,t,"","",-32.58,2016-08-16 09:15:46.895021,
12550,17,103,2016-07-20,t,"","",-1.5,2016-08-16 09:15:54.664605,
12551,17,117,2016-07-20,t,"","",-33.16,2016-08-16 09:16:08.88545,
12529,17,106,2016-07-13,t,"","",-10,2016-08-16 08:48:18.612544,
12537,17,95,2016-07-13,t,"","",-25.62,2016-08-16 09:11:38.495499,
12539,17,103,2016-07-13,t,"","",-19.7,2016-08-16 09:12:08.222901,
12538,17,88,2016-07-13,t,"","",-102.7,2016-08-16 09:11:56.899365,
12540,17,95,2016-07-14,t,"","",-43.38,2016-08-16 09:12:32.891508,
12530,17,95,2016-08-18,f,6127,"",-15,2016-08-16 08:52:46.103762,
12541,17,117,2016-07-15,t,"","",-91.98,2016-08-16 09:12:52.472378,
12542,17,98,2016-07-18,t,"","",-40,2016-08-16 09:13:41.505687,
12543,17,95,2016-07-18,t,"","",-12.69,2016-08-16 09:13:51.259062,
12544,17,88,2016-07-18,t,"","",-10.7,2016-08-16 09:14:11.498265,
12545,17,95,2016-07-18,t,"","",-21.7,2016-08-16 09:14:21.597384,
12546,17,95,2016-07-18,t,"","",-7.76,2016-08-16 09:14:39.854198,
12547,17,111,2016-07-19,t,"","",-19.99,2016-08-16 09:15:10.444475,
12565,17,88,2016-07-29,t,"","",-16.6,2016-08-16 09:21:42.450843,
12548,17,99,2016-07-19,t,"","",-12.6,2016-08-16 09:15:42.948874,
12552,17,114,2016-07-21,t,"","",-8.2,2016-08-16 09:16:37.463834,
12553,17,95,2016-07-21,t,"","",-15.5,2016-08-16 09:17:06.047609,
12555,17,95,2016-07-25,t,"","",-24.3,2016-08-16 09:17:40.851729,
12556,17,95,2016-07-25,t,"","",-52.4,2016-08-16 09:18:44.359364,
12557,17,98,2016-07-26,t,"","",-30,2016-08-16 09:19:05.986888,
12561,17,105,2016-07-27,t,"","",737.79,2016-08-16 09:20:30.85153,
12554,17,88,2016-07-21,t,"","",-13,2016-08-16 09:17:25.503271,
12558,17,88,2016-07-26,t,"","",-10.7,2016-08-16 09:19:18.410055,
12559,17,103,2016-07-26,t,"","",-3,2016-08-16 09:19:27.575956,
12560,17,88,2016-07-26,t,"","",-16.9,2016-08-16 09:20:13.112832,
12562,17,110,2016-07-27,t,"","",231.6,2016-08-16 09:20:46.491086,
12563,17,110,2016-07-27,t,"","",-7.8,2016-08-16 09:20:57.440747,
12564,17,96,2016-07-28,t,"","",-16.3,2016-08-16 09:21:11.089033,
12566,17,95,2016-08-01,t,"","",-24.57,2016-08-16 09:21:56.440371,
12567,17,95,2016-08-01,t,"","",-18,2016-08-16 09:23:01.380234,
12568,17,110,2016-08-01,t,"","",-5.5,2016-08-16 09:23:18.683657,
12569,17,95,2016-08-02,t,"","",-13.16,2016-08-16 09:23:28.0826,
12571,17,88,2016-08-03,t,"","",-37.47,2016-08-16 09:24:38.717216,
12570,17,110,2016-08-03,t,"","",-6.21,2016-08-16 09:24:27.026545,
12534,17,97,2016-07-30,t,6131,"",-53,2016-08-16 08:54:17.814196,
12580,17,95,2016-08-05,t,"","",-24.5,2016-08-16 09:26:42.367211,
12579,17,99,2016-08-05,t,"","",-22.63,2016-08-16 09:26:33.209002,
12578,17,99,2016-08-05,t,"","",-15.27,2016-08-16 09:26:19.847806,
12577,17,110,2016-08-05,t,"","",-4.95,2016-08-16 09:26:07.606183,
12576,17,117,2016-08-05,t,"","",-19.33,2016-08-16 09:25:59.838204,
12575,17,88,2016-08-04,t,"","",-16.1,2016-08-16 09:25:46.548667,
12574,17,110,2016-08-04,t,"","",-7.8,2016-08-16 09:25:39.60263,
12573,17,104,2016-08-04,t,"","",-32,2016-08-16 09:25:26.058518,
12572,17,110,2016-08-03,t,"","",-4.95,2016-08-16 09:24:55.912158,
12533,17,104,2016-08-03,t,6130,"",-34,2016-08-16 08:53:49.851766,
12581,17,107,2016-08-08,t,"","",481,2016-08-16 09:27:22.887533,
12582,17,88,2016-08-08,t,"","",-13,2016-08-16 09:27:57.600978,
12583,17,110,2016-08-08,t,"","",-7.34,2016-08-16 09:28:08.031446,
12584,17,95,2016-08-08,t,"","",-10.34,2016-08-16 09:28:17.005282,
12586,17,103,2016-08-09,t,"","",-3,2016-08-16 09:28:59.629862,
12585,17,95,2016-08-08,t,"","",-27.67,2016-08-16 09:28:41.599663,
12532,17,88,2016-07-23,t,6129,jardins,-30,2016-08-16 08:53:16.401777,
12588,17,110,2016-08-10,t,"","",-6.11,2016-08-16 09:30:10.310587,
12587,17,88,2016-08-10,t,"","",-13,2016-08-16 09:30:01.019738,
12536,17,194,2016-08-18,f,6133,"",-14.2,2016-08-16 08:56:12.069218,
12535,17,109,2016-08-18,f,6132,"",-178.23,2016-08-16 08:55:04.10519,
12531,17,117,2016-08-18,f,6128,"",-26,2016-08-16 08:52:59.056664,
12427,17,97,2016-06-03,t,"","",-50,2016-07-13 04:03:23.16467,
15155,38,57,2019-10-29,t,"","",-5.5,2019-10-29 09:53:39.653905,
12430,17,117,2016-06-09,t,"","",-16.45,2016-07-13 04:04:26.291243,
12431,17,99,2016-06-09,t,"","",-24.3,2016-07-13 04:05:04.253498,
12432,17,95,2016-06-09,t,"","",-17.95,2016-07-13 04:05:20.672818,
12433,17,99,2016-06-10,t,"","",-28.27,2016-07-13 04:06:08.691519,
